REGION,Item,Units,Subscribers
Sirdarya,175,2,"  125,000   "
Samarkand,175,5,"  125,000   "
Tashkent,200,7,"  1,290   "
BUKHARA,200,11,"  4,990   "
KHOREZM,175,14,"  1,290   "
TASHKENT,175,27,"  19,990   "
TASHKENT,200,28,"  8,990   "
DJIZZAK,200,28,"  4,990   "
BUKHARA,200,36,"  4,990   "
BUKHARA,200,42,"  23,950   "
KHOREZM,170,46,"  8,990   "
BUKHARA,170,50,"  19,990   "
SIRDARYA,170,50,"  4,990   "
KHOREZM,170,53,"  1,290   "
KARAKALPAKISTAN,170,55,"  12,490   "
SAMARKAND,170,66,"  1,990   "
SAMARKAND,200,67,"  1,290   "
SAMARKAND,200,75,"  1,990   "
BUKHARA,170,80,"  8,990   "
SAMARKAND,170,87,"  15,000   "
BUKHARA,170,90,"  4,990   "
SAMARKAND,170,90,"  4,990   "
SAMARKAND,170,94,"  19,990   "
SAMARKAND,200,96,"  4,990   "
TASHKENT,200,4,"  4,990   "
SURKHANDARYA,135,15,"  19,990   "
SAMARKAND,135,16,"  15,990   "
SIRDARYA,200,29,"  1,990   "
TASHKENT,200,35,"  4,990   "
DJIZZAK,170,60,"  4,990   "
DJIZZAK,170,60,"  8,990   "
KHOREZM,200,62,"  4,990   "
KHOREZM,200,64,"  8,990   "
KHOREZM,200,74,"  15,990   "
KARAKALPAKISTAN,170,81,"  19,990   "
KHOREZM,170,95,"  1,990   "
KHOREZM,170,96,"  4,990   "
DJIZZAK,170,3,"  275,000   "
KARAKALPAKISTAN,175,7,"  19,990   "
DJIZZAK,175,32,"  1,990   "
TASHKENT,175,56,"  2,990   "
KHOREZM,175,57,"  19,990   "
SAMARKAND,200,76,"  1,990   "
